name,purchase_value,current_value
abrdn-Japan Sustainable Eqty S Acc JPY,15000,26687
CT (Lux) Enhanced Cmdts AU,70500,70838
Fidelity Asian Special Sits A-Dis-USD,5050,11319
First Sentier Glb Lstd Infra A GBP Acc,5000,8584
GAM Swiss Re Cat Bond Ord SEK Acc,30000,30329
Lannebo Kort Ränta A,50000,50140
MS INVF Global Opportunity A,19200,41853
MS INVF US Growth A USD,10000,19590
Pareto Småbolagsfond A,10000,8810
Schroder ISF Global Energy A Acc USD,40000,41036
SEB Sverigefond Småbolag,31600,40936
Storebrand Global All Countries A SEK,9300,26290
Storebrand Global Solutions A SEK,118000,164094
Storebrand Japan A SEK,20000,35169
Swedbank Robur Rysslandsfond A,300,182
