2026-04-27 12:00:56 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Starting evaluation for run ID: continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc
2026-04-27 12:00:56 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | SessionPoller initialized with environment identifier: 659dc76b-cd59-4da1-9331-d4f776984e9f
2026-04-27 12:00:56 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | HTTP client: httpx (shared)
2026-04-27 12:00:56 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Successfully retrieved access token for session polling
2026-04-27 12:00:56 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Starting session polling for identifier: /evaluation/keepalive/continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc?identifier=eval13a2595cb41d4783a56ba69a2cf68ca8-1
2026-04-27 12:00:56 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Session polling started successfully
2026-04-27 12:00:56 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | inspect_ai check: is_inspect_ai=False, evaluator_keys=['kanelbrief-news-brief-quality', 'groundedness']
2026-04-27 12:00:57 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Session polling request completed with status code: 200
2026-04-27 12:00:57 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Getting eval metadata for eval_13a2595cb41d4783a56ba69a2cf68ca8 at https://kanelbullekapital-ai-2026-v1.services.ai.azure.com/api/projects/fikaforecast-2026-v1/openai/evals/eval_13a2595cb41d4783a56ba69a2cf68ca8?api-version=2025-11-15-preview.
2026-04-27 12:00:57 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Successful response received with status: 200
2026-04-27 12:00:57 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | AGENTIC_HISTORY_MAPPING and COMMON_MAPPING applied for evaluator: kanelbrief-news-brief-quality
2026-04-27 12:00:57 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Initializing Custom Foundry evaluator kanelbrief-news-brief-quality from account kanelbullekapital-ai-2026-v1, project fikaforecast-2026-v1
2026-04-27 12:00:57 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Fetching custom evaluator details for kanelbrief-news-brief-quality...
2026-04-27 12:00:57 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Get custom foundry evaluator with name: kanelbrief-news-brief-quality, version: 2
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Custom evaluator type: prompt
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Processing custom prompt-based evaluator: kanelbrief-news-brief-quality
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Initializing PromptEvaluator or PromptyEvaluator based on prompt text format
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Metric missing max_value, using fallback threshold: 3
2026-04-27 12:00:58 | WARNING  | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Failed to load as Prompty template: (UserError) Illegal formatting of prompty. The prompt file is in markdown format and can be divided into two parts, the first part is in YAML format and contains connection and model information. The second part is the prompt template.
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Using api_key for authentication.
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | AGENTIC_HISTORY_MAPPING and COMMON_MAPPING applied for evaluator: builtin.groundedness
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Initializing AzureML evaluator builtin.groundedness from registry azureml
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Get custom foundry evaluator with name: builtin.groundedness, version: 8
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Evaluator subtype: code
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Using blob-based code for evaluator: builtin.groundedness
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Downloading evaluator asset files for builtin.groundedness version 8 in BuiltinCodeEvaluator...
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Successful response received with status: 200
2026-04-27 12:00:58 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | Listing and downloading blobs in container 'azureml-be37934e-333a-592a-94ab-633a33169bc9':
2026-04-27 12:00:59 | INFO     | continuousevalrun_379e6e5a-079f-4c19-b277-9d5b326843dc | - Downloading blob: __init__.py
